system_name,station_name
Kamaki,Shinjo Station
Kamarada,Kregel Refinery
Kamas,Beg Terminal
Kamas,Goodricke Vision
Kamcabea,Bayley Terminal
Kamcabi,Kimberlin Settlement
Kamcabi,Bujold Plant
Kamchadals,Holdstock Beacon
Kamchairra,Napier Orbital
Kamchairra,Lenoir Colony
Kamchandika,Burnham Hangar
Kamchandika,Huberath Station
Kamchansan,William Sargent Platform
Kamici,Gaiman Port
Kamici,Peary Enterprise
Kamito,Newcomb Hub
Kamito,Potez Port
Kammaits,Mukai Hub
Kammaits,Glenn Installation
Kamocan,Kemurdzhian Installation
Kamu Yamato,Comer Installation
Kamumba,Deslandres Landing
Kamuti,Holden's Inheritance
Kamuti,Stairs' Progress
Kamuy,Ockels Terminal
Kan Aphu,Daley Platform
Kanagoto,Penrose Works
Kanaheim,Eskridge Landing
Kanandos,Anderson City
Kanandos,Ricardo Installation
Kanates,Otus Port
Kandanda,Zhigang Point
Kandanda,Siemens Outpost
Kandji,Furuta Prospect
Kangulu,Hollander Vision
Kanitisa,Cummings Landing
Kannari,Culbertson Terminal
Kannari,Shonin Depot
Kannon,Ross City
Kano,Goryu Refinery
Kano,Smith Prospect
Kanos,Geston Ring
Kanus,Oefelein Refinery
Kanus,Sommerfeld Camp
Kao Kach,Dowling Depot
Kao Kach,Betancourt Works
Kao Wanga,De City
Kao Wanga,de Kamp Terminal
Kao Wanga,Sorayama Estate
Kappa,Poisson Orbital
Kappa,Darboux Station
Kappa,Bertin Ring
Kappa,Younghusband Beacon
Kappa Phoenicis,Gresley Landing
Kappa Tucanae,Gent Hub
Kapperapai,Weitz Landing
Karadjari,Lemaitre Prospect
Karadjari,Millosevich's Progress
Karagro,Hopkins Port
Karagro,Snyder City
Karagro,Sullivan Colony
Karagro,Fontenay Vision
Karaikda,Leeuwenhoek Port
Karaikda,Wundt Port
Karas,Wood Refinery
Karbon,Budrys Installation
Karbon,Euthymenes Prospect
Karbon,Brin Colony
Karbon,Spring Refinery
Karbon,Bogdanov's Progress
Karecoya,Linnaeus Platform
Karelitakas,Glass Station
Karelitakas,Cartier Hub
Kareneri,Elion Terminal
Karengi,Burton Port
Karex,Ross Settlement
Karex,Zudov Colony
Karishnu,Wright Refinery
Karishnu,Nolan Depot
Karnae,Miklouho-Maclay Platform
Karnarki,Pangborn City
Karnarki,Marusek Orbital
Karovices,Hurley Terminal
Karovices,Brandenstein Platform
Karovoy,Shatner Dock
Karovoy,Rondon Freeport
Karovoy,Sellings Landing
Karsinanari,Sucharitkul Hub
Karsinanari,Shalatula Terminal
Karsing,Lister Horizons
Kartam,Wohler Platform
Kartam,Teller Landing
Kartam,Rasmussen Prospect
Kartamayana,Hayashi Installation
Kassi,Bailey Terminal
Kassi,Butler Base
Kasszony,Culpeper Plant
Kataning,Dalgarno Hangar
Kataning,Naubakht Port
Katocudatta,Burke Hub
Katocudatta,Coles Horizons
Katui,Leclerc Station
Katui,Remek Dock
Katukilal,Brule Landing
Katungkates,Fisher Station
Katungkates,Artsebarsky Plant
Katungkates,Gemar Terminal
Katuri,Bogdanov City
Katuri,Shiras Port
Katuri,Fidalgo City
Katuri,Stjepan Seljan Port
Katuri,Oltion City
Katuri,Priest City
Katuri,Rubruck Hub
Kaukamine,Vinci Station
Kaukamine,Blalock Enterprise
Kaukhabarra,Stone Holdings
Kaukhe,Bauman Port
Kaupolock,Eyharts Orbital
Kaupolock,Crampton Installation
Kaurna,Kier Settlement
Kauruk,Moore Terminal
Kauruk,Gaspar de Portola Dock
Kauruk,Baffin Co-operative
Kauruk,Fanning Terminal
Kauruku,Selberg's Folly
Kauruku,Drake's Folly
Kaurushi,Alexandria Hub
Kausan,Lyulka Ring
Kausates,Amundsen Base
Kaushairup,Beadle Beacon
Kaushi,Hirase Gateway
Kaushi,Watt Dock
Kaushi,Eddington Orbital
Kaushi,Baffin Depot
Kaushpoos,Neville Horizons
Kawal,Litke Installation
Kaxixo,Kimbrough Orbital
Kaxixo,Nowak Hub
Kayimali,Coppel Landing
Kazatobi,Swainson Holdings
Kebe,Hornby Terminal
Kebes,Kondakova Plant
Kebes,Salam Base
Kedo,Hannu Port
Kedo,Yano Platform
Kedo,Mitra Installation
Kedoshe,Filipchenko City
Kedoshe,Fettman Port
Kedoshe,Blodgett Terminal
Keer,Berliner Plant
Kehperagwe,Carson Terminal
Kehperagwe,Copernicus Port
Kehperagwe,Lee Orbital
Kehperagwe,Sharma Port
Kehperagwe,Malyshev Station
Kehperagwe,Boming Terminal
Kehperagwe,Thagard Hub
Kehperagwe,Hieb Port
Keiadabiko,Bisson Gateway
Keiadabiko,MacLean Vision
Kekenk,al-Khowarizmi Plant
Kelin Samba,Mattei Plant
Kelish,Alphonsi Orbital
Kelish,Friedrich Peters Vision
Keltim,Sitterly Orbital
Keltim,Maury Dock
Keltim,Shea City
Keltim,Seitter Dock
Keltim,Tomita Hub
Keltim,al-Khowarizmi Landing
Kemuru,Cleve Vision
Kemuru,Hartlib Settlement
Kenyamuna,Read Installation
Kenyamuna,Lamarck Landing
Kerebaei,Eisenstein Dock
Kerebaei,Hiroyuki Settlement
Kereri,Yourkevitch Enterprise
Ketekhmet,Thurston Refinery
Ketekhmet,Archer Refinery
Ketsauts,Proctor Plant
Ketsegezi,Kazantsev Base
Khaima,Artyukhin Terminal
Khaima,Kondakova City
Khaka,Qureshi Enterprise
Khaka,Ford Hub
Khaka,Hutton Dock
Khakareng,Rabinowitz Settlement
Khakareng,Biesbroeck Hub
Khakha,Coelho Settlement
Khakya,Puiseux's Progress
Khakya,Kornbluth Holdings
Khampti,Peirce Refinery
Khan Gubii,Alpers City
Khanci,Bloomfield Colony
Khanci,Tani Colony
Khasa,Levi-Civita Enterprise
Khasargiz,Jordan's Inheritance
Khasargiz,Hand's Inheritance
Khasia,Chern Dock
Khasia,Hill Prospect
Khelma,Kidman Hub
Khelma,Lucid Orbital
Khemaraui,Covington's Folly
Khengu,Fullerton Platform
Khepeche,Nemere Enterprise
Khepertha,Roberts Refinery
Kher,Arkwright Port
Kher,Creamer Ring
Kher,Godwin Station
Khered,Rocklynne Refinery
Khernidjal,McMullen Beacon
Khernidjal,Moresby Terminal
Khnum,Dana City
Khnum,Akiyama Station
Khnum,Bowersox Ring
Khnum,Sturckow Ring
Khnum,Kondratyev Terminal
Khodiwobogi,Chadwick Terminal
Khodiwobogi,Sunyaev Installation
Kholhouvun,Thorne Landing
Kholhouvun,Ryumin Colony
Kholu,Abetti Vision
Khond,Ogden Depot
Khones,Henricks Colony
Khones,Velazquez Dock
Khong Shi,Blish Prospect
Khongyan,Louis de Lacaille Platform
Khongyan,Mueller Plant
Khronos,Evans Hub
Khronos,Walter Refinery
Khruttones,Reed Plant
Khruvani,Disch Station
Khruvani,Carlisle Gateway
Khruvani,Pike City
Khuzwan Zu,Macdonald Settlement
Khuzwangpo,Bursch Landing
Khuzwangpo,Fontana Dock
Khwar,Kingsmill Plant
Khwar,Roberts Dock
Khwar,Bierce Beacon
Khwathis,Moran Prospect
Khwathis,Selous Prospect
Khwatka,Hernandez Dock
Khwatka,Rushd Gateway
Khwatka,Linge Installation
Khwatka,Hambly Base
Ki,Binet Port
Ki,McBride Vision
Ki,Hammond Vision
Ki,Mohmand Hub
Ki,Simpson City
Kicho,Lowry Landing
Kiga,Onnes Dock
Kiga,Gernhardt Hub
Kigagua,Beekman's Inheritance
Kigandan,Vinogradov Port
Kigandan,Bethe Dock
Kigandan,Bulleid Ring
Killke,Clifford Horizons
Killke,Tavares Outpost
Killke,King Base
Kim 2-17,Rutherford Landing
Kim 2-17,Thomas Vision
Kin,Vries' Folly
Kina,Hedin Plant
Kina,Fox Arena
Kini,Kadenyuk Orbital
Kinnara,Grechko Refinery
Kinne,Dreyer Holdings
Kinne,Apianus Station
Kioskurber,Voss Beacon
Kipgenik,Capek Installation
Kipgeninka,Jordan Enterprise
Kipsigines,Sellers Hangar
Kiribalngu,Kinsey Horizons
Kirrae,Hedin Refinery
Kirrae,Kneale Hangar
Kirram,Barcelos City
Kirram,Disch Station
Kirram,Griffith Horizons
Kirram,Walters' Progress
Kisatsya,Bohr Prospect
Kisatsya,Giacconi Landing
Kisatsya,Laird Plant
Kishijoten,Yegorov Port
Kishijoten,Tesla Depot
Kisir,Biermann Hub
Kisir,Bickel Hub
Kissensi,Smith Beacon
Kissensi,Laplace Refinery
Kissi,Rzeppa Orbital
Kistha,Elion City
Kistha,Davis Terminal
Kistha,Al-Khalili Plant
Kistha,Velho Landing
Kistultula,Wright Dock
Kistultula,Barry Station
Kitchang Mu,Stefansson Station
Kitchang Mu,Rustah Hub
Kitchih,Paez Platform
Kitchitatis,Kratman Terminal
Kitjarundi,Ziegler Platform
Kitjarundi,Foerster Hangar
Kitjarundi,Armero Port
Kivas,Lander Base
Klamath,Dirac Station
Klamath,Thoreau Orbital
Klamath,Rozhdestvensky City
Klikudiya,Arrhenius Orbital
Klikudiya,Bresnik Terminal
Klikudiya,Zalyotin Ring
Klikumad,Burbank Colony
Klikumad,Mitchell Works
Koamul,Franklin Penal colony
Koamutera,Nachtigal Beacon
Koamutera,Fibonacci Plant
Koara,Harding Gateway
Koara,Killough Dock
Koara,Goulart Orbital
Koara,McHugh Settlement
Kobog,Siodmak Plant
Kobog,Francisco de Eliza Orbital
Koboroma,Thagard Vision
Koboroma,Jendrassik Point
Kocab,Napier Dock
Kocab,Drzewiecki Gateway
Kocab,Peirce Orbital
Kocab,Kratman Holdings
Kochil,Martins Orbital
Kochil,Aikin Settlement
Koeng Pora,Dantec Settlement
Koine,Viete Colony
Koira,Ahern Installation
Koirada,Gooch Orbital
Koirada,Bobko Station
Koirada,Sellings Landing
Kokary,Gidzenko Terminal
Kokary,Faraday Enterprise
Kokary,Cori Gateway
Kokary,Foda's Inheritance
Kokatese,Koontz Enterprise
Kokatese,Humphreys Plant
Kokipik,Laveykin Plant
Kokipik,Clifford Refinery
Koknan,Baydukov Enterprise
Koknan,Herbig Holdings
Koko Oh,Stillman Dock
Koko Oh,Harness Legacy
Kokobi,Lenthall Freeport
Kokobididji,Sheremetevsky Vision
Kokobii,Bauman Station
Kokobii,Anderson Hub
Kokoja,Kingsbury Settlement
Kokoja,Jones Vision
Kokojawa,Fraser Terminal
Kokojina,Ali Ring
Kokojina,Kinsey Terminal
Kokoller,Wandrei Hub
Kokoller,Cadamosto Dock
Kokoller,Utley Hub
Kokoller,Blodgett's Folly
Kokomini,Elder Port
Kokomini,Anthony Installation
Kokongyi,Chaviano Refinery
Kokonjekodi,Keyes Prospect
Kokopatji,Keeler Horizons
Kokoto,Pogue Hub
Kokoto,Herrington City
Kokowar,Rowley Landing
Kokaangin,Sugano Beacon
Kolabinates,Grant Plant
Kolaga,Britnev Hub
Kolaga,Clapperton Station
Kolanji,Scott Station
Kolanji,Hirase Ring
Kolanji,Lucretius Port
Kolanji,McDivitt Base
Koleti,Vasquez de Coronado Plant
Kolhyni,Soddy Station
Kolibalita,Baturin Port
Kolitja,Nakaya Station
Koljankirna,Jendrassik Vision
Koljankirna,Rzeppa Vision
Koljankirna,Nye Terminal
Koljankirna,Slusser's Progress
Kolyawa,Remec Gateway
Komotae,Bluford Station
Komotae,Feustel Park
Komotae,Filipchenko Terminal
Komovoy,Silves Dock
Komovoy,Garnier Platform
Komovoy,Gentle Dock
Komovoy,Watson's Progress
Kondadora,Rennie Enterprise
Kondadora,Smith Station
Kondadora,Nikolayev Station
Kondovii,Schottky Port
Kondovii,Schlegel Port
Kondrustem,Rondon Works
Kong,Pond Orbital
Kong,Griffith Plant
Konggal,Volta Landing
Konggal,Brunel Prospect
Konggul,Soukup Depot
Konggul,Everest Prospect
Konohi,Kuchner Refinery
Konoto,Macgregor Vision
Kora Pin,Hilmers Dock
Kora Pin,Copernicus Hub
Kora Pin,Yamazaki Station
Kora Pin,Yurchikhin Hub
Korai,Gagnan Settlement
Koraik,Locke Works
Koraik,Barba Orbital
Koraj,England Terminal
Koraj,Leonov Terminal
Koren,Mackenzie Vision
Koren,Davis Relay
Korenses,Kwolek Hangar
Kormt,Perrin Terminal
Kormt,Maudslay Hub
Kornephoros,Zhen Beacon
Korring,Vespucci Refinery
Korring,Barbosa Prospect
Korring,Schiltberger Plant
Korubu,Fuca Ring
Korubu,Bailey Station
Korubu,Betancourt Terminal
Kosche,Meyrink's Inheritance
Koshans,Burnham Installation
Koshans,Secchi Dock
Koshas,Zelazny Colony
Koshas,Rey Platform
Koskit,Oliver's Inheritance
Kosretia,McDaniel Vision
Kotait,Cortes Works
Kotaition,Gardner Landing
Kotaition,Bose Settlement
Kotandji,O'Neill Installation
Kotiga,Boodt Depot
Kotiga,Burnell's Inheritance
Kotilekui,Tokarev Beacon
Kotiniez,Bates Platform
Kotiniez,Hedin Freeport
Kou Zu,Duffy Settlement
Kou Zu,Galilei Landing
Kou Zu,Tiedemann Landing
Kou Zu,Borlaug's Inheritance
Koyang,Hand Orbital
Koyans,Cauchy Terminal
KP Tauri,Spedding Orbital
KP Tauri,Anders Orbital
KP Tauri,Mohmand Dock
Kpaniya,Tilman Settlement
Kponiugo,Lessing Hub
Kponiugo,Wilson Terminal
Krataula,Watts Vision
Krataula,Zamyatin Dock
Krataula,Henderson's Progress
Krathamani,Hambly Estate
Krathamani,Barjavel Hub
Kraz,Lind Refinery
Kremainn,Volta Station
Kremainn,Wohler Terminal
Krinbea,Elst's Progress
Krinda,Xiaoguan Station
Krivisci,Curbeam Dock
Krivisci,Vasyutin Plant
Kruger 60,Kepler Gateway
Kuan Gu,McMillan Terminal
Kuan Yin,Ehrenfried Kegel Terminal
Kuanes,Haber's Inheritance
Kuanes,Altshuller Installation
Kuanga,Helms City
Kuanga,Harrison Refinery
Kuangwutja,Oshima Landing
Kuangwutja,Dishoeck Vision
Kucub Hua,Cenker Landing
Kucub Hua,Helmholtz Installation
Kudiyu,Gurragchaa Colony
Kudiyu,Khan Holdings
KUI 11,Penn Prospect
Kui Xenab,d'Allonville City
Kui Xenab,Lemaitre Depot
Kui Xiba,Smith Works
Kui Xing,Andreas City
Kui Xing,Henricks Dock
Kuk,Perga City
Kuk,Eudoxus Dock
Kuk,Harrison Enterprise
Kuk,Veblen City
Kuk,Evans Station
Kuk,Napier Platform
Kukuan,Olivas Camp
Kukuan,Babbage Point
Kukula,Tesla Platform
Kulaye,Vyssotsky Installation
Kulianminy,Zarnecki Plant
Kulianminy,Darwin Hub
Kulinniya,Shatalov Hub
Kulungan,Bursch Enterprise
Kulungan,Napier Station
Kulungan,von Helmont Enterprise
Kuluujja,Kelly Settlement
Kuluujja,Simonyi Orbital
Kuluujja,Rontgen City
Kuluujja,la Cosa Beacon
Kuluujja,Olsen Plant
Kuma,Elion Dock
Kuma,Divis Port
Kuma,Dobrovolskiy Orbital
Kuma,Duffy Orbital
Kuma,Brandenstein Port
Kumana,Rosenberg Dock
Kumana,Hopkinson Refinery
Kumana,Ellis Settlement
Kumata,Vishweswarayya Enterprise
Kumata,Fisher Station
Kumata,Detmer Hub
Kumbaya,Tilley Works
Kume,Narvaez Plant
Kume,Stasheff Outpost
Kumokum,Oliver Refinery
Kumokum,Perry Relay
Kumui,Heinkel Installation
Kumui,Naboth Hangar
Kumui,Kimura Settlement
Kun,Bresnik Colony
Kunab,Rorschach Hangar
Kunab,Maudslay Station
Kunab,McDivitt Installation
Kunahpu,Parker Holdings
Kunahpu,Edgeworth Plant
Kunahpu,Evangelisti Base
Kundjabozo,Phillips Platform
Kundjabozo,Carlisle Penal colony
Kung Mu,Seddon Orbital
Kung Mu,Foda Port
Kung Mu,Wohler Station
Kung Mu,Hawley City
Kung Mu,Morey Orbital
Kung Mu,Lazutkin Port
Kungadutji,Underwood Holdings
Kungati,Bernoulli Terminal
Kungati,Elvstrom Prospect
Kunggi,Vesalius City
Kunggi,Marshburn Gateway
Kunggi,Rashid Port
Kungkalis,Struve Hangar
Kungun,Hewish Colony
Kungun,Lowell Hangar
Kungurutii,Lawrence Colony
Kungurutii,Jett Dock
Kunie,Shimizu Orbital
Kunie,Finlay-Freundlich Colony
Kunj Hef,Bain Settlement
Kunjak,Hugh Refinery
Kunta,Brash Dock
Kunta,Lucretius Platform
Kunta,Szentmartony's Progress
Kuntae,Tognini Horizons
Kuntae,Weber City
Kuntae,Scully-Power's Progress
Kuntae,Brooks Depot
Kuntae,Heinlein Works
Kunth,Clement Colony
Kunuvii,Baraniecki Base
Kuo Zhi,Ising Prospect
Kuo Zhi,Swainson Dock
Kupan,Taylor Refinery
Kupana,Hume Port
Kupana,Conklin Hub
Kupana,Stafford's Folly
Kupoledari,Wiberg Dock
Kupoledari,Padalka Outpost
Kupoledari,Kozlov Prospect
Kupoledari,Fiennes Plant
Kured,Kuchner Vision
Kured,Tange Terminal
Kured,Vogel Port
Kured,Siegel Depot
Kureserians,Tepper Installation
Kureserians,Hevelius' Inheritance
Kuring,Vries Installation
Kuringgai,Compton Vision
Kurma,Luu City
Kurma,Nadiradze Plant
Kurmodiae,Malyshev Terminal
Kurra,Jones Station
Kurrigurr,Dutton Holdings
Kuru,Salak Terminal
Kuruacani,Fujimori Hub
Kuruacani,Wheeler Port
Kuruacani,den Berg Dock
Kuruacani,Moore Enterprise
Kurughnaye,Toll Installation
Kurui Gubi,Petaja Dock
Kurui Gubi,Lee Enterprise
Kurukana,Hart Orbital
Kurukana,Bamford Holdings
Kurunggua,Koolhaas Prospect
Kurunggua,Barbuy's Progress
Kuruntabal,Niijima's Folly
Kurunti,Illy Port
Kurunti,Faris City
Kurunti,Al-Jazari Depot
Kurutas,Lie Terminal
Kurutas,Tem Station
Kurutas,Hubble Settlement
Kurutsi,Walter Hangar
Kusang,Meech Installation
Kusang,Puiseux Vision
Kusang,Oren Orbital
Kushambo,Suntzeff Hangar
Kushambo,McKean Platform
Kushen,Blalock Terminal
Kusubi Gong,Wittgenstein Refinery
Kutenis,Legendre Terminal
Kutenis,Bailey Orbital
Kutenis,Marques Hub
Kutenis,Fremion Orbital
Kutenis,Jones Orbital
Kutenis,Karlsefni Park
Kutenis,Qian Relay
Kutja,Moresby Installation
Kutja,Weinbaum's Inheritance
Kutjarasvat,Musgrave Hub
Kutkha,Chilton Orbital
Kutkha,Kregel Station
Kutkha,Ryazanski Station
Kutkha,Harvey City
Kutkha,Atwater Station
Kutkha,Hutton Dock
Kutkha,Nagel Landing
Kutkha,Kregel Relay
Kutnahin,Lagadha Settlement
Kuukese,Eisenstein Gateway
Kuukese,Jones Ring
KUV 410-4,Anderson Colony
KUV 410-4,Griffin Plant
Kuwair,Asire Horizons
Kuwair,Zahn Horizons
Kuwair,Thornycroft Terminal
Kuwemarai,Fourier Plant
Kuwemarai,Bombelli Settlement
Kuwemargl,Baillaud Ring
Kuwemargl,Oosterhoff Vision
Kuwemargl,Pritchard Hub
Kuwembanda,Goldberg Prospect
Kuwembanda,Michalitsianos Estate
Kuwembanda,Hassanein's Progress
Kvas,Flynn Colony
Kvash,Wilson Port
Kvash,Wiley Station
Kvash,Schlegel Gateway
Kwamindjara,Lane Depot
Kwangatjali,Erikson Station
Kwangatjali,Lynn Refinery
Kwangatjali,Vaez de Torres' Progress
Kwanteru,Tereshkova Landing
Kwanteru,Popovich Settlement
Kwaraseti,Moore Holdings
Kwaraseti,Pierce Hub
Kwatee,Herreshoff Gateway
Kwatee,Smith Dock
Kwatee,Cartier Dock
Kwatee,Barcelo Works
Kwatiles,Elion Works
Kwatsu,Pascal Landing
Kwattrages,Roentgen Port
Kwattrages,Mach Station
Kwatyriel,Sellings Legacy
Kwatyriel,Lasswitz Installation
Kwekwaki,Al-Battani City
Kwekwaki,Somerset City
Kwekwaki,Anderson Terminal
Kwekwaki,Killough's Folly
Kwekwaxawe,Laplace Hangar
Kwiambilara,Andree Terminal
Kwiamo,Abernathy Plant
Kyamatae,Morgan's Progress
Kyamatae,Tolstoi's Inheritance
Kaal,Vercors Station
Kaan,Dalgarno's Inheritance
L 119-33,den Berg Refinery
L 119-33,Oersted Dock
L 190-21,Wescott Port
L 190-21,Gurragchaa Orbital
L 190-21,Bamford City
L 190-21,Bondar Terminal
L 190-21,Aleksandrov Port
L 190-21,Lockhart Holdings
L 190-21,Arkwright Vision
L 206-187,Bhabha Orbital
L 258-146,Mendeleev Hangar
L 258-146,Tito Camp
L 26-27,McCoy City
L 26-27,Chretien Colony
L 26-27,Aldrin Colony
L 286-71,Lynden-Bell Installation
L 286-71,Frost Refinery
La Tenha,Rozhdestvensky Horizons
La Tenha,Williams Dock
La Tenha,Kraepelin Dock
La Tenha,Fibonacci's Progress
La Tenha,Clair Prospect
La Tenha,Vlamingh Settlement
Labe,Hermite Terminal
Lacab Kui,Trumpler Installation
Lacaille 8760,Chiao Landing
Lacaille 8760,Serebrov City
Lacani,Karlsefni Terminal
Lachazi,Hamilton Dock
Lachazi,Cook Outpost
Lactona,Lee's Progress
Lactonaz,vo Dock
Lactorma,Cleve Holdings
Lactorma,LeConte Port
Ladagao,Wolszczan Plant
Ladon,Weitz Refinery
Lafquene,Reed Landing
Lafquene,Kazantsev Platform
Laga,Reynolds City
Laga,Ledyard Ring
Laga,Vancouver Hub
Lagar,Rond d'Alembert Works
Lagar,Lukyanenko Prospect
Lagunnosso,Besonders Vision
Laguts,Oltion Prospect
Laguts,Mach Vision
Lahaua,Brendan Refinery
Lahaua,Lefschetz Plant
Lahua,Russell Plant
Laiawawal,Roberts Port
Laifan,Kidman Prospect
Laifan,Abbott Installation
Lak,Korolev Prospect
Lak,Carroll Vision
Lakheo,Leeuwenhoek Port
Lakho,Ledyard Gateway
Lakho,Stjepan Seljan Enterprise
Laklang,Great Point
Lakluit,Garriott Hub
Lakota,Maler Park
Lakota,Volterra Lab
Laksak,Stjepan Seljan Hub
Laksak,Rotsler Station
Laksak,Bugrov Dock
Laksak,Sekelj Port
Laksak,Pinto City
Laksak,West City
Laksak,Hedin Hub
Laksak,Laumer City
Laksak,Hughes Settlement
Laksar,Mandel Port
Lakuxi,Temple Arena
Lalande 13942,Fourneyron Installation
Lalande 16904,Gagnan Hub
Lalande 16904,McArthur Station
Lalande 16904,Galilei Terminal
Lalande 17161,Ford Plant
Lalande 1799,Watson Terminal
Lalande 1799,Teller Ring
Lalande 18115,Steiner Installation
Lalande 22701,Teng Terminal
Lalande 26630,Low Colony
Lalande 26630,Thurston Dock
Lalande 27958,Kirchoff Port
Lalande 28607,Chern Ring
Lalande 28607,Huberath Horizons
Lalande 28607,Lee Terminal
Lalande 29437,Tesla Settlement
Lalande 29917,Brust Vision
Lalande 30044,Underwood Holdings
Lalande 30271,Panshin Terminal
Lalande 30271,Williams Settlement
Lalande 30699,Walker Horizons
Lalande 30699,Filipchenko Gateway
Lalande 32151,Lee Gateway
Lalande 32151,Bohnhoff Ring
Lalande 32151,Dampier Terminal
Lalande 32151,Ryman Works
Lalande 37120,Keyes Enterprise
Lalande 37120,Menzies' Folly
Lalande 37923,Lambert Refinery
Lalande 38451,Savery Plant
Lalande 38451,Underwood Platform
Lalande 38451,Artsebarsky Vision
Lalande 38626,Shunn Prospect
Lalande 40728,Merbold Orbital
Lalande 40728,Wohler Station
Lalande 40728,Humboldt Enterprise
Lalande 40728,Mille Works
Lalande 42128,Lundwall Platform
Lalande 43492,Polansky Hub
Lalande 45292,Phillips City
Lalande 9428,Magnus Orbital
Lalande 9428,Gell-Mann Colony
Lalande 9428,Pausch Refinery
Lalande 9428,Lee Works
Lalande 9428,Jendrassik Terminal
Lalande 9828,Adams Orbital
Lalumaskab,Griffin Terminal
Lamaku,Yurchikhin Port
Lamaku,Hornblower City
Lambda Andromedae,Franklin Port
Lambda Andromedae,Flynn Horizons
Lambda Andromedae,Bounds Horizons
Lambda Andromedae,Fidalgo Vision
Lambda Andromedae,Conway City
Lambda Horologii,Arp Terminal
Lambda-2 Fornacis,Kepler Hangar
Lambda-2 Fornacis,Wellman Settlement
Lambda-2 Tucanae,Farghani Landing
Lambo,Lasswitz's Inheritance
Lamgang,MacLeod Platform
Lamgani,Hassanein Settlement
Lamia,Noon Port
Lampade,Charlois Dock
Lampade,Encke Gateway
Lampade,Mechain Ring
Lan Disk,Garcia Station
Lan Disk,Grimwood Hub
Lan Disk,Tall Orbital
Lan Disk,Fourier Port
Lan Disk,Crook Port
Lan Tie Yu,Herrington Vision
Lan Tie Yu,Nowak Holdings
Lan Tie Yu,Appel Terminal
Langu,Alfven Terminal
Langu,Maitz Platform
Lao Gobe,Rodrigues Terminal
Lao Gobed,Jendrassik Dock
Lao Gobed,Hobaugh City
Lao Yano,Moore Station
Lao Yano,Brin Enterprise
Lao Yano,Bentham Vision
Lao Yano,Serling Works
Lao Zi,van Vogt City
Lao Zi,Rand Terminal
Lao Zi,Navigator Orbital
Lao Zi,Sutcliffe Station
Lao Zi,Wafer City
Lao Zi,Shepherd Orbital
Lao Zi,Danvers Dock
Lapannodaya,Zhen Colony
Larg,Porco Holdings
Largarayu,Wilcutt Refinery
Largarayu,Rond d'Alembert Vision
Larrid,Rae Terminal
Lati,Watts Settlement
Lati,Quaglia Camp
Latjal,Ashby Terminal
Latjal,Skvortsov Terminal
Latjal,Watt Terminal
Latjang,Currie Holdings
Latjil,Al-Farabi Hub
Latjil,Potter Enterprise
Latobici,Schiltberger City
Latobici,Fiennes Platform
Latorioson,Lysenko City
Latorioson,Bowersox Terminal
Latorioson,Cleave Landing
Latormodur,Taylor Enterprise
Latu,Midgeley Settlement
Latu,Conway Works
Latu,Eisele Landing
Latuba,Soukup City
Latucan,Wilhelm Orbital
Latugara,Franke Base
Latuveanes,Hyecho Vision
Latuveanes,Kazantsev City
Laukaitu,Cummings Prospect
Laukaitu,Makarov Depot
Laukas,Barbosa Platform
Laukates,Kuhn Platform
Laukese,Moran Landing
Laukh,Staden Dock
Laukh,Shirley Prospect
Lauma,Afanasyev Dock
Lauma,Foda Port
Lauma,Vian Colony
Laumas,Hoffman Terminal
Laur,Islam Plant
Lausang,Neugebauer Hangar
Lausang,The Discordian Society
LAWD 13,Potrykus Platform
LAWD 13,Chamitoff City
LAWD 17,Armstrong Hangar
LAWD 17,Arkwright Landing
LAWD 52,Leichhardt Enterprise
LAWD 52,Coles Gateway
LAWD 52,Tem Terminal
LAWD 7,Burbank Plant
LAWD 7,Hedley Dock
LAWD 80,Cavalieri Station
LAWD 80,Haldeman II City
LAWD 96,Wiener Prospect
LAWD 96,Holden Dock
Lazdones,McCoy Terminal
Lazdones,Cori Hub
Lazdones,Armstrong Station
Lazdones,Halsell Hub
Lazdones,Mendel Station
Lazdongand,Borlaug Installation
Lazdongand,Garneau Dock
Lazdongand,Weierstrass Terminal
LB 3303,Poindexter Horizons
LB 3303,Al-Khalili Port
LB 3303,Marshall City
Leerham,Low Enterprise
LEHPM 1902,Lomonosov Hub
LEHPM 1902,Nomen Vision
Lei Cherna,Baffin Refinery
Lei Ching,Baliunas Platform
Lei Ching,Cartier Refinery
Lei Heile,Macomb Depot
Lei Jing,Crown Prospect
Lei Lin,Budarin Holdings
Lei Mati,Canty Station
Lei Mati,Phillips Orbital
Lekagh,Garneau Hub
Lekagh,Szilard Landing
Lelabo,Bulgakov Ring
Lelabo,Pashin Dock
Lelao,Scithers Beacon
Leleng Musu,Capek Depot
Lemana,Friesner Base
Lemastshi,Collins Plant
Lembava,Goldstein Port
Lembava,Morrison Dock
Lencali,Reynolds Ring
Lencali,Herschel City
Lencali,Libby Dock
Lengi,Grover Settlement
Lengi,Dzhanibekov Installation
Lenty,Cameron Plant
Lepchazi,Taylor Dock
Lepchazi,Rusch Vision
Lesche,Pajdusakova Platform
Lescherty,Moore Enterprise
Lese,Diophantus' Inheritance
Leucosi,Veron Vision
Leucosi,Korolev Vision
Leucosi,Anderson Hangar
Leucosimha,Scott Station
Leucosimha,Cseszneky City
